Line Num,Original ID,File,ARO

114,argannot~~~(Bla)PBP1a~~~JN645776:1-2160,abricate_argannot_both_ARO_mapping.tsv,nan

381,argannot~~~(Ntmdz)nimj_Nitroimidazole_Gene~~~KJ816753.1:19295-19792,abricate_argannot_both_ARO_mapping.tsv,nan

398,argannot~~~(Phe)cpt_strepv~~~U09991:1412-1948,abricate_argannot_both_ARO_mapping.tsv,nan

424,argannot~~~(Bla)Penicillin_Binding_Protein_Ecoli~~~CP002291:664439-666340,abricate_argannot_both_ARO_mapping.tsv,nan

635,argannot~~~(AGly)aac3-I~~~AJ877225:5293-5757,abricate_argannot_both_ARO_mapping.tsv,nan

939,argannot~~~(Bla)penA~~~AB511945:1298-3049,abricate_argannot_both_ARO_mapping.tsv,nan

1161,argannot~~~(Phe)catB6~~~AJ223604:3727-4341,abricate_argannot_both_ARO_mapping.tsv,nan

1862,argannot~~~(Tet)tetR~~~HF545434:53576-54226,abricate_argannot_both_ARO_mapping.tsv,nan

2046,argannot~~~(Tet)tetR(G)~~~S52438:113-745,abricate_argannot_both_ARO_mapping.tsv,nan

2169,argannot~~~(Bla)PBP1b~~~AF101781:1-2466,abricate_argannot_both_ARO_mapping.tsv,nan

11,MEG_4109|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|NALC|RequiresSNPConfirmation,abricate_megares_both_ARO_mapping.tsv,nan

16,MEG_5362|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,abricate_megares_both_ARO_mapping.tsv,nan

48,MEG_5368|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,abricate_megares_both_ARO_mapping.tsv,nan

68,MEG_3196|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,abricate_megares_both_ARO_mapping.tsv,nan

165,MEG_7196|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_regulator|TETRM|RequiresSNPConfirmation,abricate_megares_both_ARO_mapping.tsv,nan

182,MEG_7850|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ZIPB,abricate_megares_both_ARO_mapping.tsv,nan

190,MEG_1175|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|ARSRM,abricate_megares_both_ARO_mapping.tsv,nan

192,MEG_2709|Drugs|Mycobacterium_tuberculosis-specific_Drug|Ethambutol_resistant_arabinosyltransferase|EMBA|RequiresSNPConfirmation,abricate_megares_both_ARO_mapping.tsv,nan

221,MEG_7185|Drugs|Tetracyclines|Tetracycline_transcriptional_repressor|TETR|RequiresSNPConfirmation,abricate_megares_both_ARO_mapping.tsv,nan

223,MEG_3932|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|MEXT|RequiresSNPConfirmation,abricate_megares_both_ARO_mapping.tsv,nan

227,MEG_3245|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|GYRBA|RequiresSNPConfirmation,abricate_megares_both_ARO_mapping.tsv,nan

239,MEG_2710|Drugs|Mycobacterium_tuberculosis-specific_Drug|Ethambutol_resistant_arabinosyltransferase|EMBB|RequiresSNPConfirmation,abricate_megares_both_ARO_mapping.tsv,nan

270,MEG_5387|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,abricate_megares_both_ARO_mapping.tsv,nan

297,MEG_6102|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,abricate_megares_both_ARO_mapping.tsv,nan

305,MEG_5364|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,abricate_megares_both_ARO_mapping.tsv,nan

307,MEG_5343|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,abricate_megares_both_ARO_mapping.tsv,nan

323,MEG_2114|Drugs|Phenicol|Chloramphenicol_phosphotransferase|CPT,abricate_megares_both_ARO_mapping.tsv,nan

329,MEG_5417|Metals|Copper_resistance|Copper_resistance_protein|PCOB,abricate_megares_both_ARO_mapping.tsv,nan

334,MEG_6133|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,abricate_megares_both_ARO_mapping.tsv,nan

338,MEG_5389|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,abricate_megares_both_ARO_mapping.tsv,nan

373,MEG_4002|Metals|Multi-metal_resistance|Multi-metal_ABC_efflux_pumps|MODA,abricate_megares_both_ARO_mapping.tsv,nan

381,MEG_5328|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,abricate_megares_both_ARO_mapping.tsv,nan

385,MEG_3232|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,abricate_megares_both_ARO_mapping.tsv,nan

397,MEG_3050|Metals|Multi-metal_resistance|Multi-metal_resistance_protein|FPVA,abricate_megares_both_ARO_mapping.tsv,nan

434,MEG_5816|Metals|Arsenic_resistance|Arsenic_resistance_protein|PSTS,abricate_megares_both_ARO_mapping.tsv,nan

450,MEG_4161|Drugs|Multi-drug_resistance|Multi-drug_RND_efflux_pumps|NFXB|RequiresSNPConfirmation,abricate_megares_both_ARO_mapping.tsv,nan

457,MEG_714|Metals|Arsenic_resistance|Arsenite_oxidase|AIOE,abricate_megares_both_ARO_mapping.tsv,nan

459,MEG_2899|Multi-compound|Biocide_and_metal_resistance|Biocide_and_metal_ABC_efflux_pumps|FETB,abricate_megares_both_ARO_mapping.tsv,nan

512,MEG_5385|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,abricate_megares_both_ARO_mapping.tsv,nan

520,MEG_3924|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|MEXR,abricate_megares_both_ARO_mapping.tsv,nan

