Original ID,ARO Replacement
"['gi|1002519395|ref|WP_061390634.1|', 'gi|1002526225|ref|WP_061390684.1|', 'gi|1002550102|ref|WP_061393727.1|', 'gi|1005555254|ref|WP_061653404.1|', 'gi|1006147757|ref|WP_061732287.1|', 'gi|1006152247|ref|WP_061733462.1|', 'gi|1006153492|ref|WP_061733756.1|', 'gi|1006166702|ref|WP_061737137.1|', 'gi|1006178758|ref|WP_061739947.1|', 'gi|1006184502|ref|WP_061741368.1|', 'gi|1006676707|ref|WP_061820836.1|', 'gi|1006756370|ref|WP_061823690.1|', 'gi|1006809738|ref|WP_061824445.1|', 'gi|1007060617|ref|WP_061838454.1|', 'gi|1007064214|ref|WP_061839264.1|', 'gi|1007099473|ref|WP_061843909.1|', 'gi|1031778566|ref|WP_064126137.1|', 'gi|1031791968|ref|WP_064133322.1|', 'gi|1031796384|ref|WP_064136479.1|', 'gi|1031805109|ref|WP_064139257.1|', 'gi|1031809986|ref|WP_064139870.1|', 'gi|12483631|dbj|BAB21440.1|', 'gi|446993873|ref|WP_001071129.1|', 'gi|446993874|ref|WP_001071130.1|', 'gi|446993875|ref|WP_001071131.1|', 'gi|446993877|ref|WP_001071133.1|', 'gi|446993878|ref|WP_001071134.1|', 'gi|446993883|ref|WP_001071139.1|', 'gi|446993884|ref|WP_001071140.1|', 'gi|446993885|ref|WP_001071141.1|', 'gi|446993886|ref|WP_001071142.1|', 'gi|446993893|ref|WP_001071149.1|', 'gi|446993895|ref|WP_001071151.1|', 'gi|446993897|ref|WP_001071153.1|', 'gi|446993908|ref|WP_001071164.1|', 'gi|446993909|ref|WP_001071165.1|', 'gi|537465722|ref|WP_020977229.1|', 'gi|554679166|ref|WP_023180168.1|', 'gi|686133171|ref|WP_031774173.1|', 'gi|686372005|ref|WP_031896197.1|', 'gi|757444661|ref|WP_042741303.1|', 'gi|916182247|ref|WP_050964278.1|', 'gi|916211506|ref|WP_050969978.1|', 'gi|916230870|ref|WP_050975032.1|', 'gi|928778382|ref|WP_053860941.1|', 'gi|928780642|ref|WP_053862023.1|', 'gi|928799654|ref|WP_053871829.1|', 'gi|928802369|ref|WP_053873214.1|', 'gi|950647379|ref|WP_057486511.1|', 'NC_002745.1124031.p01', 'NC_003923.1003359.p01', 'NC_007793.3912797.p01']",fmtC
"['gi|1002519395|ref|WP_061390634.1|', 'gi|1002526225|ref|WP_061390684.1|', 'gi|1002550102|ref|WP_061393727.1|', 'gi|1005555254|ref|WP_061653404.1|', 'gi|1006147757|ref|WP_061732287.1|', 'gi|1006152247|ref|WP_061733462.1|', 'gi|1006153492|ref|WP_061733756.1|', 'gi|1006166702|ref|WP_061737137.1|', 'gi|1006178758|ref|WP_061739947.1|', 'gi|1006184502|ref|WP_061741368.1|', 'gi|1006676707|ref|WP_061820836.1|', 'gi|1006756370|ref|WP_061823690.1|', 'gi|1006809738|ref|WP_061824445.1|', 'gi|1007060617|ref|WP_061838454.1|', 'gi|1007064214|ref|WP_061839264.1|', 'gi|1007099473|ref|WP_061843909.1|', 'gi|1031778566|ref|WP_064126137.1|', 'gi|1031791968|ref|WP_064133322.1|', 'gi|1031796384|ref|WP_064136479.1|', 'gi|1031805109|ref|WP_064139257.1|', 'gi|1031809986|ref|WP_064139870.1|', 'gi|12483631|dbj|BAB21440.1|', 'gi|446993873|ref|WP_001071129.1|', 'gi|446993874|ref|WP_001071130.1|', 'gi|446993875|ref|WP_001071131.1|', 'gi|446993877|ref|WP_001071133.1|', 'gi|446993878|ref|WP_001071134.1|', 'gi|446993883|ref|WP_001071139.1|', 'gi|446993884|ref|WP_001071140.1|', 'gi|446993885|ref|WP_001071141.1|', 'gi|446993886|ref|WP_001071142.1|', 'gi|446993893|ref|WP_001071149.1|', 'gi|446993895|ref|WP_001071151.1|', 'gi|446993897|ref|WP_001071153.1|', 'gi|446993908|ref|WP_001071164.1|', 'gi|446993909|ref|WP_001071165.1|', 'gi|537465722|ref|WP_020977229.1|', 'gi|554679166|ref|WP_023180168.1|', 'gi|686133171|ref|WP_031774173.1|', 'gi|686372005|ref|WP_031896197.1|', 'gi|757444661|ref|WP_042741303.1|', 'gi|916182247|ref|WP_050964278.1|', 'gi|916211506|ref|WP_050969978.1|', 'gi|916230870|ref|WP_050975032.1|', 'gi|928778382|ref|WP_053860941.1|', 'gi|928780642|ref|WP_053862023.1|', 'gi|928799654|ref|WP_053871829.1|', 'gi|928802369|ref|WP_053873214.1|', 'gi|950647379|ref|WP_057486511.1|', 'NC_002745.1124031.p01', 'NC_003923.1003359.p01', 'NC_007793.3912797.p01']",fmtC
"['AAC22099', 'EDJ91555', 'EDK10390', 'JN645776.1.gene1.p01', 'YP_001290033', 'YP_001292390', 'YP_248152', 'ZP_00155442', 'ZP_00156276', 'ZP_01788419', 'ZP_04464540', 'ZP_04466634']",ARO:3003938 
"['AAC22099', 'EDJ91555', 'EDK10390', 'JN645776.1.gene1.p01', 'YP_001290033', 'YP_001292390', 'YP_248152', 'ZP_00155442', 'ZP_00156276', 'ZP_01788419', 'ZP_04464540', 'ZP_04466634']",ARO:3003938 
"['AF101781.1.gene1.p01', 'P57296', 'YP_002467958']",ARO:3003938 
"['AF101781.1.gene1.p01', 'P57296', 'YP_002467958']",ARO:3003938 
"['AAC45547', 'AAC95456', 'AAF17263', 'AAF17264', 'AAF17266', 'AAF17267', 'AAF17268', 'AAF17269', 'AAF17270', 'AAL77081', 'ABJ55333', 'BAD00902', 'BAD67448', 'CAO91607', 'CAO91608', 'CAO91609', 'CAO91612', 'CAO91614', 'CAO91615', 'CAO91616', 'CAO91617', 'CAO91620', 'CAO91621', 'CAO91622', 'CAO91624', 'CAO91626', 'CAO91629', 'CAO91630', 'EDK70037', 'EDK78328', 'JN645706.1.gene1.p01', 'NP_357898', 'P14677', 'YP_001693856', 'YP_002735431', 'YP_002737588', 'YP_002741884', 'ZP_01834487', 'ZP_02709163', 'ZP_02722595', 'ZP_04597435']",ARO:3003938 
"['AAC45547', 'AAC95456', 'AAF17263', 'AAF17264', 'AAF17266', 'AAF17267', 'AAF17268', 'AAF17269', 'AAF17270', 'AAL77081', 'ABJ55333', 'BAD00902', 'BAD67448', 'CAO91607', 'CAO91608', 'CAO91609', 'CAO91612', 'CAO91614', 'CAO91615', 'CAO91616', 'CAO91617', 'CAO91620', 'CAO91621', 'CAO91622', 'CAO91624', 'CAO91626', 'CAO91629', 'CAO91630', 'EDK70037', 'EDK78328', 'JN645706.1.gene1.p01', 'NP_357898', 'P14677', 'YP_001693856', 'YP_002735431', 'YP_002737588', 'YP_002741884', 'ZP_01834487', 'ZP_02709163', 'ZP_02722595', 'ZP_04597435']",ARO:3003938 
"['AAA25465', 'AAM97249', 'AAN61107', 'AAP46576', 'AAP46577', 'AAP46578', 'AAP46581', 'AAP46583', 'AAP46584', 'AAP46585', 'AAP46588', 'AAP46590', 'AAP46591', 'AAP46594', 'AAP46595', 'AAP46597', 'AAP46598', 'AAP46600', 'AAP46601', 'AAP46602', 'AAP46604', 'AAP46605', 'AAP46606', 'AAP46607', 'AAP46608', 'AAP46609', 'AAP46610', 'AAP46611', 'AAP46613', 'AAP46614', 'AAP46617', 'AAP46619', 'AAP46620', 'AAP46621', 'AAP46622', 'AAP46624', 'AAP46632', 'AAP46635', 'ACF30471', 'BAB86942', 'CAD70592', 'gi|32345766|gb|AAM97177.1|', 'gi|32345836|gb|AAM97212.1|', 'gi|32345844|gb|AAM97216.1|', 'gi|32345862|gb|AAM97225.1|', 'gi|32345868|gb|AAM97228.1|', 'gi|32345872|gb|AAM97230.1|', 'gi|32345874|gb|AAM97231.1|', 'gi|32345876|gb|AAM97232.1|', 'gi|32345878|gb|AAM97233.1|', 'gi|32345880|gb|AAM97234.1|', 'gi|32345882|gb|AAM97235.1|', 'gi|32345884|gb|AAM97236.1|', 'gi|32345886|gb|AAM97237.1|', 'gi|32345888|gb|AAM97238.1|', 'gi|32345890|gb|AAM97239.1|', 'gi|32345894|gb|AAM97241.1|', 'gi|32345896|gb|AAM97242.1|', 'gi|32345898|gb|AAM97243.1|', 'gi|32345900|gb|AAM97244.1|', 'gi|32345902|gb|AAM97245.1|', 'gi|32345906|gb|AAM97247.1|', 'gi|32345908|gb|AAM97248.1|', 'gi|32345914|gb|AAM97251.1|', 'gi|488189171|ref|WP_002260379.1|', 'P0A0U8', 'P74872', 'U58210.1.gene4.p01', 'YP_002041176', 'YP_002045964', 'YP_002114946', 'YP_002146111', 'YP_002215174', 'YP_002226185', 'YP_002243220', 'YP_002792444', 'YP_208590', 'YP_216904', 'ZP_02346204', 'ZP_02659083', 'ZP_02681785', 'ZP_02696486', 'ZP_03164918', 'ZP_04656349']",ARO:3003938 
"['AAA25465', 'AAM97249', 'AAN61107', 'AAP46576', 'AAP46577', 'AAP46578', 'AAP46581', 'AAP46583', 'AAP46584', 'AAP46585', 'AAP46588', 'AAP46590', 'AAP46591', 'AAP46594', 'AAP46595', 'AAP46597', 'AAP46598', 'AAP46600', 'AAP46601', 'AAP46602', 'AAP46604', 'AAP46605', 'AAP46606', 'AAP46607', 'AAP46608', 'AAP46609', 'AAP46610', 'AAP46611', 'AAP46613', 'AAP46614', 'AAP46617', 'AAP46619', 'AAP46620', 'AAP46621', 'AAP46622', 'AAP46624', 'AAP46632', 'AAP46635', 'ACF30471', 'BAB86942', 'CAD70592', 'gi|32345766|gb|AAM97177.1|', 'gi|32345836|gb|AAM97212.1|', 'gi|32345844|gb|AAM97216.1|', 'gi|32345862|gb|AAM97225.1|', 'gi|32345868|gb|AAM97228.1|', 'gi|32345872|gb|AAM97230.1|', 'gi|32345874|gb|AAM97231.1|', 'gi|32345876|gb|AAM97232.1|', 'gi|32345878|gb|AAM97233.1|', 'gi|32345880|gb|AAM97234.1|', 'gi|32345882|gb|AAM97235.1|', 'gi|32345884|gb|AAM97236.1|', 'gi|32345886|gb|AAM97237.1|', 'gi|32345888|gb|AAM97238.1|', 'gi|32345890|gb|AAM97239.1|', 'gi|32345894|gb|AAM97241.1|', 'gi|32345896|gb|AAM97242.1|', 'gi|32345898|gb|AAM97243.1|', 'gi|32345900|gb|AAM97244.1|', 'gi|32345902|gb|AAM97245.1|', 'gi|32345906|gb|AAM97247.1|', 'gi|32345908|gb|AAM97248.1|', 'gi|32345914|gb|AAM97251.1|', 'gi|488189171|ref|WP_002260379.1|', 'P0A0U8', 'P74872', 'U58210.1.gene4.p01', 'YP_002041176', 'YP_002045964', 'YP_002114946', 'YP_002146111', 'YP_002215174', 'YP_002226185', 'YP_002243220', 'YP_002792444', 'YP_208590', 'YP_216904', 'ZP_02346204', 'ZP_02659083', 'ZP_02681785', 'ZP_02696486', 'ZP_03164918', 'ZP_04656349']",ARO:3003938 
