Line Num	Original ID	File	ARO	ARO:number	Synonim	Drug class	Note
							
114	argannot~~~(Bla)PBP1a~~~JN645776:1-2160	abricate_argannot_both_ARO_mapping.tsv	nan	ARO:3003938 	ARG gene family	cephalosporin, cephamycin, penam	Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics (AMR gene family) https://card.mcmaster.ca/ontology/40661 
							
381	argannot~~~(Ntmdz)nimj_Nitroimidazole_Gene~~~KJ816753.1:19295-19792	abricate_argannot_both_ARO_mapping.tsv	nan	ARO:3007112	nimJ	nitroimidazole	
							
398	argannot~~~(Phe)cpt_strepv~~~U09991:1412-1948	abricate_argannot_both_ARO_mapping.tsv	nan	ARO:3000249	ARG gene family	phenicol	Chloramphenicol_phosphotransferase
							
424	argannot~~~(Bla)Penicillin_Binding_Protein_Ecoli~~~CP002291:664439-666340	abricate_argannot_both_ARO_mapping.tsv	nan	ARO:3003938 	ARG gene family	cephalosporin, cephamycin, penam	Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics (AMR gene family) https://card.mcmaster.ca/ontology/40661
							
635	argannot~~~(AGly)aac3-I~~~AJ877225:5293-5757	abricate_argannot_both_ARO_mapping.tsv	nan	ARO:3007384	AAC(3)-I	aminoglycoside	https://card.mcmaster.ca/ontology/46135
							
939	argannot~~~(Bla)penA~~~AB511945:1298-3049	abricate_argannot_both_ARO_mapping.tsv	nan	ARO:3003938 	ARG gene family	cephalosporin, cephamycin, penam	Penicillin-binding protein mutations conferring resistance to beta-lactam antibiotics (AMR gene family) https://card.mcmaster.ca/ontology/40661
							
1161	argannot~~~(Phe)catB6~~~AJ223604:3727-4341	abricate_argannot_both_ARO_mapping.tsv	nan	ARO:3002678	Pseudomonas aeruginosa catB6	phenicol	https://card.mcmaster.ca/ontology/39112
							
1862	argannot~~~(Tet)tetR~~~HF545434:53576-54226	abricate_argannot_both_ARO_mapping.tsv	nan	ARO:3003479	tetR	tetracycline	https://card.mcmaster.ca/ontology/40072
							
